time,SMA
2019-01-01,7387.3402
2019-01-02,7340.2101
2019-01-03,7271.0326
2019-01-04,7215.5207
2019-01-07,7197.2854
2019-01-08,7188.3159
2019-01-09,7178.1274
2019-01-10,7166.5355
2019-01-11,7147.9943
2019-01-14,7142.1911
2019-01-15,7129.7542
2019-01-16,7132.9399
2019-01-17,7145.5468
2019-01-18,7156.8084
2019-01-21,7142.429
2019-01-22,7108.1341
2019-01-23,7066.9821
2019-01-24,7033.1291
2019-01-25,6955.0938
2019-01-28,6868.2637
2019-01-29,6788.014
2019-01-30,6712.5476
2019-01-31,6644.0111
2019-02-01,6605.4718
2019-02-04,6582.8513
2019-02-05,6585.5466
2019-02-06,6600.0134
2019-02-07,6623.9888
2019-02-08,6685.1583
2019-02-11,6750.8635
2019-02-12,6811.256
2019-02-14,6897.1536
2019-02-15,6894.1185
2019-02-18,6882.1089
2019-02-19,6853.9183
2019-02-20,6820.6626
2019-02-21,6773.3189
2019-02-22,6751.0044
2019-02-25,6725.4021
2019-02-26,6701.2374
2019-02-27,6694.5891
2019-02-28,6676.6404
2019-03-01,6677.4077
2019-03-05,6703.6412
2019-03-06,6728.2333
2019-03-07,6745.9053
2019-03-08,6763.0042
2019-03-11,6779.904
2019-03-12,6802.4856
2019-03-13,6820.9152
2019-03-14,6833.6968
2019-03-15,6858.93
2019-03-18,6856.7107
2019-03-19,6829.3262
2019-03-20,6792.5983
2019-03-22,6746.692
2019-03-25,6703.0439
2019-03-26,6653.3546
2019-03-27,6592.0005
2019-03-28,6543.4039
2019-04-01,6478.8836
2019-04-02,6476.2126
2019-04-03,6499.6732
2019-04-04,6541.7722
2019-04-05,6595.0648
2019-04-08,6652.9904
2019-04-09,6715.1069
2019-04-10,6779.3892
2019-04-11,6837.0428
2019-04-12,6901.1892
2019-04-15,6949.14
2019-04-16,7005.6183
2019-04-18,7041.2633
2019-04-22,7059.8337
2019-04-23,7053.6128
2019-04-24,7044.3373
2019-04-25,7013.704
2019-04-26,6979.5208
2019-04-30,6928.9573
2019-05-02,6864.4856
2019-05-03,6803.7191
2019-05-06,6730.4672
2019-05-07,6658.342
2019-05-08,6592.9087
2019-05-09,6552.3686
2019-05-10,6513.5087
2019-05-13,6476.8294
2019-05-14,6451.3243
2019-05-15,6434.4488
2019-05-16,6416.0047
2019-05-17,6415.6453
2019-05-20,6452.3781
2019-05-21,6467.8501
2019-05-22,6494.3022
2019-05-23,6524.1731
2019-05-24,6570.0065
2019-05-27,6622.2017
2019-05-28,6669.0015
2019-05-29,6708.0556
2019-05-30,6744.9923
2019-05-31,6760.1876
2019-06-03,6754.7728
2019-06-04,6773.4015
2019-06-06,6781.1521
2019-06-07,6782.5895
