"Date","Open","High","Low","Close"
"10 Dec 2021","35820.05","35974.75","35652.20","35939.60"
"09 Dec 2021","35963.70","36114.00","35573.35","35946.35"
"08 Dec 2021","35584.80","36131.95","35576.85","35959.05"
"07 Dec 2021","35136.55","35384.00","34756.60","35272.30"
"06 Dec 2021","35835.45","35953.75","34828.15","34879.40"
"03 Dec 2021","36314.80","36518.80","35784.15","35848.05"
"02 Dec 2021","35504.80","36195.65","35418.25","36157.85"
"01 Dec 2021","35143.00","35652.20","35123.95","35428.95"
"30 Nov 2021","35018.90","35654.20","34918.60","35043.75"
"29 Nov 2021","34382.40","35104.35","33953.90","34870.75"
"26 Nov 2021","35024.70","35190.10","34512.60","34606.10"
"25 Nov 2021","34978.00","35365.75","34934.55","35300.25"
"24 Nov 2021","35627.95","35662.60","34828.30","34966.25"
"23 Nov 2021","35206.00","35645.45","34707.85","35504.40"
"22 Nov 2021","36097.00","36097.00","35224.55","35478.95"
"18 Nov 2021","36641.55","36702.40","35867.30","36007.00"
"17 Nov 2021","36623.75","36835.95","36431.25","36660.90"
"16 Nov 2021","36555.25","36794.25","36429.90","36643.85"
"15 Nov 2021","36391.10","36646.25","36302.95","36465.30"
"12 Nov 2021","35860.10","36378.05","35732.75","36332.25"
"11 Nov 2021","35626.65","35697.00","35141.30","35583.65"
"10 Nov 2021","35635.05","35862.45","35576.20","35722.95"
"09 Nov 2021","35839.20","36117.95","35763.85","35815.10"
"08 Nov 2021","35606.00","35852.50","35177.95","35782.35"
"04 Nov 2021","35403.00","35452.35","35302.45","35334.25"
"03 Nov 2021","35351.45","35525.75","35093.05","35177.10"
"02 Nov 2021","35334.25","35522.35","35076.15","35177.35"
"01 Nov 2021","34677.30","35328.55","34654.95","35289.95"
"29 Oct 2021","34820.30","35178.75","34288.55","34408.75"
"28 Oct 2021","35575.65","35575.65","34787.10","34913.60"
"27 Oct 2021","35245.05","35578.00","35163.05","35503.90"
"26 Oct 2021","35181.70","35699.85","34957.75","35162.35"
"25 Oct 2021","35467.10","35521.05","34529.85","35005.40"
"22 Oct 2021","35892.65","36297.20","35098.20","35394.65"
"21 Oct 2021","36988.90","36988.90","35624.50","35913.60"
"20 Oct 2021","37188.15","37463.90","36534.50","36846.80"
"19 Oct 2021","36841.60","37491.85","36720.00","37106.35"
"18 Oct 2021","36012.00","36400.60","35863.40","36306.35"
"14 Oct 2021","35921.45","36412.45","35571.40","35744.80"
"13 Oct 2021","35053.70","35324.45","34872.40","35285.60"
"12 Oct 2021","35179.20","35294.15","34512.80","34869.75"
"11 Oct 2021","35494.40","35690.40","34768.95","35179.95"
"08 Oct 2021","35920.55","36703.55","35786.30","36402.00"
"07 Oct 2021","35323.60","35903.95","35233.30","35703.85"
"06 Oct 2021","35689.55","35801.50","35003.05","35075.80"
"05 Oct 2021","34978.40","35650.85","34781.60","35544.30"
"04 Oct 2021","34923.80","35184.55","34778.25","35126.15"
"01 Oct 2021","34955.50","35100.90","34719.80","34780.60"
"30 Sep 2021","35394.90","35408.10","34975.60","35028.00"
"29 Sep 2021","34894.90","35578.30","34733.95","35282.65"
"28 Sep 2021","36082.00","36082.00","34924.55","35239.95"
"27 Sep 2021","37335.90","37345.05","35968.75","36034.40"
"24 Sep 2021","37128.75","37823.15","37055.00","37103.25"
"23 Sep 2021","36691.95","36867.45","36532.45","36816.90"
"22 Sep 2021","36154.05","36713.15","36145.95","36422.40"
"21 Sep 2021","35609.10","36127.80","35332.85","36086.05"
"20 Sep 2021","35462.40","36130.55","35346.20","35400.05"
"17 Sep 2021","35915.40","36131.25","35527.00","35646.50"
"16 Sep 2021","36151.35","36310.75","35694.85","35852.40"
"15 Sep 2021","35462.35","36200.00","35375.35","36075.20"
"14 Sep 2021","35224.25","35476.90","35020.70","35431.50"
"13 Sep 2021","34688.30","35242.50","34573.70","35129.60"
"09 Sep 2021","34676.20","34862.85","34530.00","34802.30"
"08 Sep 2021","34973.90","34979.30","34515.45","34678.20"
"07 Sep 2021","35549.30","35581.55","34906.85","34951.25"
"06 Sep 2021","34992.05","35464.40","34855.95","35415.10"
"03 Sep 2021","34744.45","34997.70","34490.65","34891.15"
"02 Sep 2021","34218.25","34846.90","34051.90","34680.30"
"01 Sep 2021","34698.75","34780.00","34037.15","34110.50"
"31 Aug 2021","34205.80","34680.65","34043.60","34570.20"
"30 Aug 2021","34338.75","34480.15","34027.50","34109.20"
"27 Aug 2021","34036.45","34392.85","33799.05","34309.80"
"26 Aug 2021","34092.90","34375.95","33929.70","34041.10"
"25 Aug 2021","33887.75","34399.85","33764.10","34083.95"
"24 Aug 2021","34145.25","34262.60","33634.75","33838.40"
